name,xcoord,ycoord,City_ethnic,Constitution,Region,Size_of_Territory,Demos,Boule,Dikasterion,Gerousia,Nomothetai,Other_Institutions,Total_Institutions,phratriai,demoi,phylai,other_civic_subdivision,Proxenoi,Theorodokoi,Theorodokoi_Type,Panhellenic_Victors,Panhellenic_Victors_Specific_Games,Members_of_the_Delian_League,Stasis,Destruction,Type_of_Destruction,Andrapodismos,Destruction_of_urban_center,Dioikismos,Expulsion_of_population,Population_killed_off,Synoikismos,City_Walls,Political_Architecture,Temple,Theatre,Stoas,Gymnasia,Stadia,Hippodromes,Total_Public_Building_Types,Colonisation
741-Didymon Teichos,15.45,34.66666667,Didymoteichites,NR,34,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735-Artaiou Teichos,20.46666667,34.66666667,Artaiotechites,NR,34,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
972-Lebena,24.91666667,34.91666667,Lebenaios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976-Matala,24.75,35,Matalios,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988-Rhitten,24.91666667,35,Rhittenios,NR,41,1,1,val2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
962-Hierpytna,25.75,35,Hierapytnios,NR,41,4,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980-Phaistos,24.83333333,35.08333333,Phaistios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
960-Gortyns,24.91666667,35.08333333,Gortynios,NR,41,4,1,val2,1,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0
949-Aulon,25,35.08333333,,Bas,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985-Priansos,25.25,35.08333333,Priansieus,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
948-Arkades,25.33333333,35.08333333,Arkas,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
951-Biannos,25.41666667,35.08333333,Biannios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
989-Stalai,26,35.08333333,Stalites,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
952-Bionnos,24.5,35.16666667,,NR,41,1,0,val2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
971-Lato,25.66666667,35.16666667,Latios,NR,41,2,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,2,0
984-Praisos,26.08333333,35.16666667,Praisios,NR,41,3,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
955-Dragmos,26.16666667,35.16666667,Dragmios,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
964-Istron,27.25,35.16666667,Istronious,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
963-Hyrtakina,23.75,35.25,Hyrtakinios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
959-Elyros,23.83333333,35.25,Elyrios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
973-Lisos,23.83333333,35.25,Lisios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991-Tarrha,24,35.25,Tarrhaios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945-Anopolis,24.08333333,35.25,Anopolites,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
970-Lappa,24.33333333,35.25,Lappaios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990-Sybrita,24.66666667,35.25,Sybritios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
978-Olous,24.75,35.25,Olontios,NR,41,3,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
986-Rhaukos,25,35.25,Rhaukios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
958-Elytnia,25.16666667,35.25,Elytnieus,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
974-Lyktos,25.33333333,35.25,Lyktios,NR,41,4,1,val2,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
956-Dreros,25.66666667,35.25,Drerios,NR,41,2,1,val2,0,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
979-Petra,26,35.25,Petraios,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
965-Itanos,26.25,35.25,Itanios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
987-Rhithymnos,24.5,35.33333333,Rhithymnios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957-Eleutherna,24.66666667,35.33333333,Eleuthernaios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
950-Axos,24.83333333,35.33333333,Axios,NR,41,2,0,val2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
992-Tylisos,25,35.33333333,Tylisios,NR,41,2,0,val2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961-Herakleion,25.16666667,35.33333333,Herakleiotas,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967-Knosos,25.16666667,35.33333333,Knosios,NR,41,4,0,val2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
953-Chersonasos,25.41666667,35.33333333,Chersonasios/Cherronesios,NR,41,1,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977-Milatos,25.58333333,35.33333333,Milatios,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966-Keraia,24,35.41666667,Kera_tas,NR,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
947-Aptara,24.16666667,35.41666667,Aptaraios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
944-Allaria,24.58333333,35.41666667,Allariotas,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
969-Kytaion,24.91666667,35.41666667,,Bas,41,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
946-Apellonia,25,35.41666667,Apelloniatas,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
490-Karthaia,27,35.41666667,Karthaieus,NR,25,2,1,val2,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
981-Phalasarna,23.58333333,35.5,Phalasarnios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
983-Polyrhen,23.66666667,35.5,Polyrhenios,NR,41,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
982-Polichne,23.91666667,35.5,Polichnites,NR,41,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
968-Kydonia,24,35.5,Kydoniatas,NR,41,4,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
486-Ios,27.08333333,35.5,Ietes,NR,25,3,1,val2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
488-Kalymna,27.16666667,35.58333333,Kalymnios,NR,25,2,1,val2,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770-Astyra Mysia,35.43333333,35.65,Astyrenos,NR,35,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766-Achilleion (Troas),55.43333333,35.65,,NR,35,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771-Astyra Troika,5.433333333,35.66666667,,NR,35,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380-Halai,23.16666667,35.66666667,Haleeus,NR,22,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
487-Ioulis,27.16666667,35.83333333,Ioulietes,NR,25,2,1,val2,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
516-Seriphos,27.25,35.91666667,Seriphios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
997-Lindos,28.08333333,36.08333333,Lindios,NR,42,5,1,val2,0,0,0,0,2,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2
1010-Nagidos,33,36.08333333,Nagideus,,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1008-Kelenderis,33.33333333,36.16666667,,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1005-Aphrodisias,33.66666667,36.16666667,,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
336-Kythera,23.08333333,36.25,Kytherios,NR,17,4,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
477-Brykous,27.58333333,36.25,Brykountios,NR,25,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
527-Therma,25.5,36.33333333,Thermaios,Bas,25,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474-Arkesine,25.75,36.33333333,Arkesineus,NR,25,2,1,val2,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
996-Kamiros,27.91666667,36.33333333,Kamireus,"Dem,Ol",42,4,1,val2,0,0,0,0,2,0,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
993-Brikindera,28.16666667,36.33333333,Brikindarios,NR,42,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943-Xanthos,29.33333333,36.33333333,Xanthios,NR,40,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006-Holmoi,33.91666667,36.33333333,Holmites,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995-Ialysos,28.16666667,36.41666667,Ialysios,"Dem,Ol",42,4,0,val2,0,0,0,0,0,0,0,1,0,1,0,0,1,15,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0
1000-Rhodos,28.25,36.41666667,Rhodios,NR,42,5,1,val2,1,0,0,0,3,0,1,1,1,1,0,0,1,3,0,5,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,4,3
327-Boia,23.06666667,36.5,Boiates,NR,17,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330-Etis,23.08333333,36.5,Eteios,NR,17,0,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344-Side,23.16666667,36.5,,32,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525-Tenos,27.33333333,36.5,Tenios,"Dem,Ol",25,3,0,val2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
942-Phaselis,30.58333333,36.5,Phaselites,NR,40,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
476-Astypalaia,26.33333333,36.58333333,,NR,25,3,0,val2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508-Peparethos,27.16666667,36.58333333,,NR,25,2,1,val2,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
522-Syros,27.83333333,36.58333333,Syrios,NR,25,3,0,val2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002-Idyros,30.58333333,36.58333333,,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340-Oitylos/Beitylos,22.41666667,36.66666667,Oitylios/Beityleus,NR,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337-Las,22.5,36.66666667,Laos,NR,17,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
513-Saros,24.91666667,36.66666667,Sarios,NR,25,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518-Siphnos,25.08333333,36.66666667,Siphnios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
907-Krya,28.83333333,36.66666667,Kryeus,Tyr,39,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935-Telandros,28.91666667,36.66666667,,NR,39,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313-Asine,21.91666667,36.75,Asinaios,NR,16,2,0,val1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
321-Thalamai,22.33333333,36.75,Thalamates,NR,16,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329-Epidauros,23,36.75,Epidaurios,NR,17,2,0,val1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
505-Oine,24.41666667,36.75,Oinoaios,NR,25,3,0,val2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
496-Kos Meropis,24.5,36.75,,NR,25,3,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
484-Ikos,25.25,36.75,Ikios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
498-Leros,27,36.75,Lerios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500-Minoa,27.16666667,36.75,Minoetes,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
903-Knidos,27.66666667,36.75,Knidios,NR,39,4,1,val2,0,1,0,0,2,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,3
877-Aulai,28.16666667,36.75,Auliates,NR,39,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872-Amos,28.25,36.75,Amios,NR,39,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
894-Kalynda,28.83333333,36.75,Kalyndeus,NR,39,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004-Side,31.41666667,36.75,Sidetes,NR,43,4,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009-Mallos,35.5,36.75,Marlotas/Mallotes,NR,43,0,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Kamarina,14.41666667,36.83333333,Kamarinaios,NR,2,4,1,val1,0,0,0,0,1,1,0,1,1,0,0,0,1,3,0,1,1,9,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
319-Mothone,21.66666667,36.83333333,Mothonaios,NR,16,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
316-Korone,21.91666667,36.83333333,Koronaios,NR,16,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315-Kardamyle,22.25,36.83333333,Skardamylites,NR,16,1,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333-Gytheion,22.58333333,36.83333333,Gytheates,NR,17,2,0,val1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
472-Andros,25.83333333,36.83333333,Andrios,NR,25,4,0,val2,0,0,0,0,1,0,0,0,0,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,4
473-Arkesseia,25.91666667,36.83333333,Arkesieus,NR,25,1,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
497-Kythnos,27.25,36.83333333,Kythnios,NR,25,2,0,val2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
